	Temp (°C) Dec-Feb	Rain (mm) Dec-Feb	Temp (°C) Jun-Aug	Rain (mm) Jun-Aug	Temp (oC) Jan-Dec	Rain (mm) Jan-Dec
1845	1.5	128.9	14.2	271.6	7.9	874.0
1846	5.7	242.2	17.0	256.2	10.5	927.4
1847	1.7	157.4	15.5	152.1	9.3	848.4
1848	4.0	306.7	14.5	344.3	9.2	1130.1
1849	5.0	224.5	14.9	178.9	9.4	866.8
1850	3.4	217.5	15.3	216.4	9.1	801.0
1851	5.0	210.7	14.8	236.6	9.4	780.5
1852	4.8	231.8	15.9	337.0	9.3	1213.0
1853	4.6	267.4	14.6	289.3	8.7	873.9
1854	3.0	151.1	14.6	185.1	9.1	672.9
1855	2.1	132.2	15.2	268.7	8.2	744.5
1856	3.8	193.6	15.2	224.1	9.3	901.1
1857	3.7	216.8	16.5	242.0	9.9	845.0
1858	4.2	92.2	15.7	189.6	8.9	739.2
1859	5.1	193.4	16.4	228.0	9.6	939.2
1860	2.3	243.0	13.4	370.8	8.1	1083.2
1861	2.6	209.8	15.2	253.6	9.3	848.3
1862	4.3	154.4	13.8	222.9	9.2	928.6
1863	5.7	212.1	14.7	229.7	9.4	861.8
1864	3.7	164.0	14.4	118.1	9.0	703.3
1865	2.7	228.5	15.7	257.0	9.7	903.1
1866	5.4	280.4	15.2	260.9	9.4	1048.5
1867	4.7	269.7	15.1	208.9	9.3	891.1
1868	4.5	230.4	16.8	143.2	10.0	907.3
1869	6.7	380.6	15.3	98.9	9.4	943.3
1870	3.0	252.7	16.1	131.1	9.2	733.1
1871	2.3	202.6	15.0	250.7	9.2	868.8
1872	5.1	286.7	15.5	303.7	9.7	1284.9
1873	4.2	298.7	15.2	245.5	8.5	834.4
1874	4.9	167.0	15.4	179.7	9.7	852.1
1875	2.9	265.9	15.0	303.0	9.6	1037.2
1876	4.1	192.3	16.0	186.3	9.4	1057.0
1877	5.9	418.3	15.0	290.9	8.7	1144.1
1878	4.9	196.6	15.9	270.9	9.3	983.5
1879	0.6	250.0	13.6	409.2	7.8	982.9
1880	2.4	138.4	15.2	278.9	9.0	1028.2
1881	2.2	268.2	14.6	287.9	8.5	966.7
1882	5.0	234.7	14.4	302.8	9.5	1146.2
1883	4.8	331.7	14.5	228.3	9.0	974.4
1884	5.5	231.4	15.8	186.5	9.8	791.5
1885	4.3	264.9	14.6	148.2	8.4	917.6
1886	2.5	191.7	15.1	189.4	8.8	1051.1
1887	2.7	241.1	16.1	112.3	8.5	669.3
1888	2.5	146.9	13.6	316.8	8.1	878.3
1889	3.8	171.5	15.1	209.3	8.6	849.2
1890	4.1	193.5	14.0	264.4	9.1	826.4
1891	1.4	105.2	14.6	287.8	8.3	996.6
1892	3.3	243.8	14.3	248.4	8.4	829.2
1893	2.8	213.8	16.4	204.7	10.0	756.2
1894	4.4	262.7	14.5	263.9	9.2	980.1
1895	1.3	191.4	15.2	247.4	8.7	855.8
1896	4.4	151.2	15.5	184.6	9.4	838.7
1897	3.7	289.8	15.9	231.7	9.6	915.8
1898	5.4	204.8	15.1	166.2	9.6	770.4
1899	5.8	286.9	16.9	132.9	10.1	840.1
1900	3.1	322.9	15.8	245.3	9.2	975.2
1901	4.4	221.6	15.8	197.1	9.2	805.2
1902	3.3	225.4	14.3	222.3	8.7	757.6
1903	5.2	207.1	14.2	309.5	9.3	1160.3
1904	3.6	283.6	15.1	190.1	9.1	815.2
1905	4.1	152.7	15.5	224.3	9.0	764.5
1906	4.5	246.2	15.6	170.3	9.6	926.2
1907	3.1	165.4	13.6	232.2	8.8	899.1
1908	4.1	222.8	14.9	216.3	9.3	806.8
1909	3.5	151.3	13.9	255.3	8.8	932.6
1910	4.1	329.4	14.7	260.1	9.1	997.0
1911	5.0	240.0	17.0	149.8	10.1	839.1
1912	5.1	337.7	14.3	409.7	9.2	1098.6
1913	5.4	270.2	14.7	114.4	9.8	868.4
1914	5.1	184.9	15.4	217.5	9.9	970.5
1915	4.3	423.0	14.7	237.7	8.6	990.4
1916	5.6	373.5	14.5	214.6	9.2	1028.0
1917	1.5	186.2	15.5	302.9	8.9	863.1
1918	4.1	193.9	14.9	203.8	9.4	962.5
1919	4.0	323.9	14.6	173.4	8.4	925.7
1920	5.6	298.0	14.0	249.9	9.8	953.3
1921	5.5	209.5	16.2	133.1	10.4	629.0
1922	4.9	275.3	13.7	267.0	8.5	928.3
1923	5.7	332.6	15.1	191.5	9.3	1013.1
1924	3.9	221.7	14.4	284.1	8.9	1082.7
1925	5.8	330.4	15.7	176.6	9.3	967.3
1926	4.7	293.2	15.6	223.3	9.5	904.8
1927	4.2	199.7	14.7	336.8	9.3	1108.2
1928	4.3	320.1	14.7	252.5	9.8	1023.2
1929	1.7	170.6	14.9	184.9	8.9	893.8
1930	4.7	330.2	15.4	246.6	9.5	1024.9
1931	3.8	256.2	14.7	318.4	9.0	981.8
